LON,LAT,NUMBER,STREET,STR_NAME,STR_TYPE,STR_DIR,address,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-115.7668716,49.5146584,126,VAN HORNE Street N,VAN HORNE,Street,N,126 VAN HORNE Street N,,CRANBROOK,,,,,4ed1510245d42379
-115.7682237,49.5129426,21,CRANBROOK Street N,CRANBROOK,Street,N,21 CRANBROOK Street N,,CRANBROOK,,,,,b2344f84cc426680
-115.7681587,49.5129963,21,CRANBROOK Street N,CRANBROOK,Street,N,21 CRANBROOK Street N,,CRANBROOK,,,,,1e9df53f2c2c024c
-115.7688661,49.5130108,30,VAN HORNE Street N,VAN HORNE,Street,N,30 VAN HORNE Street N,,CRANBROOK,,,,,b1d36b47f90b948d
-115.7688026,49.5130647,30,VAN HORNE Street N,VAN HORNE,Street,N,30 VAN HORNE Street N,,CRANBROOK,,,,,3cfe4b8db768de25
-115.7680289,49.5131037,21,CRANBROOK Street N,CRANBROOK,Street,N,21 CRANBROOK Street N,,CRANBROOK,,,,,9f15e835a4e2bc48
-115.7687351,49.5131174,30,VAN HORNE Street N,VAN HORNE,Street,N,30 VAN HORNE Street N,,CRANBROOK,,,,,39b1a97f11ec4cc7
-115.7679639,49.5131574,21,CRANBROOK Street N,CRANBROOK,Street,N,21 CRANBROOK Street N,,CRANBROOK,,,,,4d233e970561f983
-115.7686701,49.5131711,36,VAN HORNE Street N,VAN HORNE,Street,N,36 VAN HORNE Street N,,CRANBROOK,,,,,b45cd18c61316358
-115.767899,49.5132111,33,CRANBROOK Street N,CRANBROOK,Street,N,33 CRANBROOK Street N,,CRANBROOK,,,,,b62a5a70d3895991
-115.7686052,49.5132249,36,VAN HORNE Street N,VAN HORNE,Street,N,36 VAN HORNE Street N,,CRANBROOK,,,,,a83479596c29ea3c
-115.767834,49.5132648,35,CRANBROOK Street N,CRANBROOK,Street,N,35 CRANBROOK Street N,,CRANBROOK,,,,,acd24062dbb31403
-115.7685403,49.5132786,36,VAN HORNE Street N,VAN HORNE,Street,N,36 VAN HORNE Street N,,CRANBROOK,,,,,2c8740335cd525d9
-115.7677691,49.5133185,35,CRANBROOK Street N,CRANBROOK,Street,N,35 CRANBROOK Street N,,CRANBROOK,,,,,d3f835d4dcc4267c
-115.7684753,49.5133323,36,VAN HORNE Street N,VAN HORNE,Street,N,36 VAN HORNE Street N,,CRANBROOK,,,,,1884b3d6bbc9b237
-115.7677042,49.5133722,45,CRANBROOK Street N,CRANBROOK,Street,N,45 CRANBROOK Street N,,CRANBROOK,,,,,687cc386a9639443
-115.7676392,49.5134259,45,CRANBROOK Street N,CRANBROOK,Street,N,45 CRANBROOK Street N,,CRANBROOK,,,,,b3da02e07674cd39
-115.7675743,49.5134796,47,CRANBROOK Street N,CRANBROOK,Street,N,47 CRANBROOK Street N,,CRANBROOK,,,,,a875a39719f982d2
-115.7675094,49.5135333,47,CRANBROOK Street N,CRANBROOK,Street,N,47 CRANBROOK Street N,,CRANBROOK,,,,,2f6b74876e3cc416
-115.7674444,49.513587,47,CRANBROOK Street N,CRANBROOK,Street,N,47 CRANBROOK Street N,,CRANBROOK,,,,,a5d79331666a329b
